team,link
Arsenal,/en/squads/18bb7c10/Arsenal
Aston Villa,/en/squads/8602292d/Aston-Villa
Bournemouth,/en/squads/4ba7cbea/Bournemouth
Brighton & Hove Albion,/en/squads/d07537b9/Brighton--Hove-Albion
Burnley,/en/squads/943e8050/Burnley
Chelsea,/en/squads/cff3d9bb/Chelsea
Crystal Palace,/en/squads/47c64c55/Crystal-Palace
Everton,/en/squads/d3fd31cc/Everton
Leicester City,/en/squads/a2d435b3/Leicester-City
Liverpool,/en/squads/822bd0ba/Liverpool
Manchester City,/en/squads/b8fd03ef/Manchester-City
Manchester United,/en/squads/19538871/Manchester-United
Newcastle United,/en/squads/b2b47a98/Newcastle-United
Norwich City,/en/squads/1c781004/Norwich-City
Sheffield United,/en/squads/1df6b87e/Sheffield-United
Southampton,/en/squads/33c895d4/Southampton
Tottenham Hotspur,/en/squads/361ca564/Tottenham-Hotspur
Watford,/en/squads/2abfe087/Watford
West Ham United,/en/squads/7c21e445/West-Ham-United
Wolverhampton Wanderers,/en/squads/8cec06e1/Wolverhampton-Wanderers
